,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
235,東京都,町田市,山崎保育園,町田市,35.56862614,139.4290513,有
236,東京都,町田市,町田保育園,町田市,35.54451678,139.4478653,有
237,東京都,町田市,町田市子ども発達センター,町田市,35.55160325,139.4444159,有
238,東京都,町田市,ひなた村,町田市,35.56773745,139.4453478,有
239,東京都,町田市,大地沢青少年センター,町田市,35.61227613,139.2765512,有
240,東京都,町田市,原町田一丁目駐車場,町田市,35.54044589,139.4476447,有
241,東京都,町田市,小野路宿里山交流館,町田市,35.59826025,139.4385448,無
242,東京都,町田市,町田シバヒロ,町田市,35.54845333,139.4468352,有
243,東京都,町田市,プラザ町田（町田市文化交流センター）,町田市,35.54255866,139.4426445,無
244,東京都,町田市,町田新産業創造センター,町田市,35.54716311,139.4446214,有
245,東京都,町田市,町田市バイオエネルギーセンター,町田市,35.58731219,139.4116682,無
246,東京都,町田市,サン町田旭体育館,町田市,35.55670025,139.4471259,有
247,東京都,町田市,町田GIONスタジアム（町田市立陸上競技場）,町田市,35.59241734,139.4389249,有
248,東京都,町田市,町田GIONスタジアム（町田市立陸上競技場）,町田市,35.59241734,139.4389249,有
249,東京都,町田市,町田GIONスタジアム（町田市立陸上競技場）,町田市,35.59241734,139.4389249,有
250,東京都,町田市,野津田公園,町田市,35.59279396,139.4418714,有
251,東京都,町田市,野津田公園,町田市,35.59279396,139.4418714,有
252,東京都,町田市,野津田公園,町田市,35.59279396,139.4418714,有
253,東京都,町田市,野津田公園,町田市,35.59279396,139.4418714,有
254,東京都,町田市,小野路公園管理事務所,町田市,35.5980803,139.4538084,有
255,東京都,町田市,小野路球場,町田市,35.59847163,139.4546351,有
256,東京都,町田市,鶴川中央公園テニスコート管理事務所,町田市,35.59066916,139.4716686,有
257,東京都,町田市,藤の台球場管理棟,町田市,35.56820566,139.4477007,有
258,東京都,町田市,相原中央公園管理事務所,町田市,35.60931471,139.3196631,有
259,東京都,町田市,忠生がにやら自然館,町田市,35.57297747,139.424154,有
260,東京都,町田市,薬師池公園管理棟,町田市,35.57987111,139.448806,有
261,東京都,町田市,町田ぼたん園管理棟,町田市,35.58319488,139.4442599,有
262,東京都,町田市,町田えびね苑管理棟,町田市,35.57236733,139.4484972,有
263,東京都,町田市,成瀬クリーンセンター,町田市,35.535287,139.4863539,有
264,東京都,町田市,鶴見川クリーンセンター,町田市,35.57064626,139.4919509,有
265,東京都,町田市,町田市民病院,町田市,35.55717699,139.4383972,無
266,東京都,町田市,自由民権資料館,町田市,35.58885431,139.4530928,無
267,東京都,町田市,生涯学習センター（まちだ中央公民館）,町田市,35.54296024,139.4472238,有
268,東京都,町田市,中央図書館,町田市,35.54040644,139.4503375,有
269,東京都,町田市,さるびあ図書館,町田市,35.55140907,139.4441373,有
270,東京都,町田市,金森図書館,町田市,35.53337384,139.4658807,有
271,東京都,町田市,町田市民文学館,町田市,35.54256733,139.4514678,有
272,東京都,町田市,市立室内プール,町田市,35.58627961,139.4138226,有
273,東京都,町田市,市立室内プール,町田市,35.58627961,139.4138226,有
274,東京都,町田市,市立室内プール(健康増進温浴施設),町田市,35.58627961,139.4138226,有
275,東京都,町田市,鶴間公園,町田市,35.51005769,139.4684646,有
276,東京都,町田市,町田薬師池公園四季彩の杜西園,町田市,35.57480439,139.4465213,有
277,東京都,町田市,小山子どもクラブ,町田市,35.59512697,139.3717991,有
278,東京都,町田市,三輪子どもクラブ,町田市,35.57380609,139.4887859,有
